epoch,accuracy,loss,val_accuracy,val_loss
0,0.9004814624786377,0.3264530897140503,0.971666693687439,0.10499489307403564
1,0.9474814534187317,0.17207004129886627,0.9738333225250244,0.08879832178354263
2,0.9584444165229797,0.1374194473028183,0.9768333435058594,0.0816320925951004
3,0.9649814963340759,0.11702226847410202,0.9781666398048401,0.07274356484413147
4,0.967629611492157,0.10720566660165787,0.9778333306312561,0.07775978744029999
5,0.9694259166717529,0.09957142174243927,0.9781666398048401,0.07544627040624619
6,0.9726481437683105,0.08977074176073074,0.9815000295639038,0.06507844477891922
7,0.9744444489479065,0.08319377899169922,0.9835000038146973,0.0648798793554306
8,0.9762222170829773,0.08167163282632828,0.981166660785675,0.07396487146615982
9,0.976722240447998,0.07479391247034073,0.9801666736602783,0.07190515846014023
10,0.9770185351371765,0.07617105543613434,0.984333336353302,0.06753569096326828
11,0.9779074192047119,0.0714804083108902,0.9803333282470703,0.0749891847372055
12,0.9785370230674744,0.07019376754760742,0.9833333492279053,0.07084592431783676
13,0.9803518652915955,0.0654560774564743,0.9819999933242798,0.07072116434574127
14,0.979888916015625,0.06761510670185089,0.9838333129882812,0.07365160435438156
15,0.9811481237411499,0.06336135417222977,0.98416668176651,0.06992268562316895
16,0.9824444651603699,0.058861780911684036,0.9819999933242798,0.08214814960956573
17,0.9809444546699524,0.06229854375123978,0.9821666479110718,0.07056272029876709
18,0.9829444289207458,0.0588592104613781,0.9823333621025085,0.07207873463630676
19,0.9834629893302917,0.057115137577056885,0.9806666374206543,0.081232950091362
